=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1968900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969200 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1969900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1970000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1970100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0